precision,recall,f1,roc_auc,avg_precision,threshold,n_test,n_positive,positive_rate,model,fold,n_train
0.0,0.0,0.0,0.5,0.04774800619656894,0.5,87145,4161,0.04774800619656894,base rate,1,385187
0.0,0.0,0.0,0.5,0.05201322904089453,0.5,95245,4954,0.05201322904089453,base rate,2,472332
0.0,0.0,0.0,0.5,0.0663432713795171,0.5,91735,6086,0.0663432713795171,base rate,3,567577
0.0,0.0,0.0,0.5,0.07665488295248855,0.5,82317,6310,0.07665488295248855,base rate,4,659312
0.0,0.0,0.0,0.5,0.08904966463184867,0.5,66345,5908,0.08904966463184867,base rate,5,741629
0.5726872246696035,0.21869742850276375,0.3165217391304348,0.8573328057402645,0.3639324594285344,0.5,87145,4161,0.04774800619656894,unweighted,1,385187
0.5802752293577982,0.25534921275736777,0.35463975329408465,0.8520346888352609,0.378547250067248,0.5,95245,4954,0.05201322904089453,unweighted,2,472332
0.7569644572526417,0.2589549786395005,0.385896180215475,0.8635933797497768,0.4741359067451182,0.5,91735,6086,0.0663432713795171,unweighted,3,567577
0.824435318275154,0.2545166402535658,0.38895616372002906,0.8818366372836166,0.5387778710648768,0.5,82317,6310,0.07665488295248855,unweighted,4,659312
0.8025507794048181,0.28757616790792145,0.4234267912772586,0.8673812067533542,0.5458918927183884,0.5,66345,5908,0.08904966463184867,unweighted,5,741629
0.2245027699573154,0.5940879596250901,0.32586343263907197,0.8534896512568574,0.3541761326071737,0.5,87145,4161,0.04774800619656894,weighted,1,385187
0.17933047021253165,0.6574485264432781,0.28179615850493167,0.838290619268814,0.36379858605534066,0.5,95245,4954,0.05201322904089453,weighted,2,472332
0.25151242887091946,0.6899441340782123,0.3686405337781485,0.863551845759589,0.4687295968580772,0.5,91735,6086,0.0663432713795171,weighted,3,567577
0.2494276847942209,0.7770206022187005,0.37763314976701196,0.8805312972987704,0.524970611940055,0.5,82317,6310,0.07665488295248855,weighted,4,659312
0.27110054432834885,0.7334123222748815,0.3958704490429857,0.8637004545286048,0.5240187873624645,0.5,66345,5908,0.08904966463184867,weighted,5,741629
0.33699821017642545,0.31675078106224464,0.3265609514370664,0.8121631647711474,0.27451102714570824,0.7200000000000001,87145,4161,0.04774800619656894,weighted + tuned threshold,1,304753
0.207147131743182,0.48909971740008074,0.29103357155726384,0.8146564769605326,0.2679092711761613,0.7100000000000002,95245,4954,0.05201322904089453,weighted + tuned threshold,2,385187
0.4749188919391066,0.31268485047650346,0.37709303477657785,0.804536174162085,0.368072623817697,0.8200000000000002,91735,6086,0.0663432713795171,weighted + tuned threshold,3,472332
0.5482587064676617,0.3492868462757528,0.42671829622458857,0.8464388539407404,0.44966244767509606,0.7800000000000001,82317,6310,0.07665488295248855,weighted + tuned threshold,4,567577
0.5329646017699115,0.40775220040622884,0.4620253164556962,0.8452932388207669,0.48989226071173125,0.7600000000000001,66345,5908,0.08904966463184867,weighted + tuned threshold,5,659312
0.641289117234937,0.25146520146520146,0.36126825417708197,0.8304777745827195,0.4622005926200245,0.7800000000000001,56401,5460,0.0968067942057765,short-haul: weighted + tuned,1,216070
0.4085351516576534,0.54356327232911,0.46647426001745085,0.8112918166425321,0.46224058812536667,0.3500000000000001,66229,6393,0.09652871098763381,short-haul: weighted + tuned,2,272199
0.620264064293915,0.35583731269553764,0.4522339646332531,0.8302593279151188,0.4879556555255965,0.7800000000000001,71298,6073,0.08517770484445567,short-haul: weighted + tuned,3,328600
0.6550043016919989,0.41800878477306,0.5103340408892861,0.8694429538919685,0.5425385605204815,0.6900000000000002,64811,5464,0.0843066763358072,short-haul: weighted + tuned,4,394829
0.548915784165406,0.48195705114013726,0.5132618177531534,0.8673032322112034,0.5589503888395573,0.6400000000000001,50598,4517,0.089272303253093,short-haul: weighted + tuned,5,466127
