rmse,mae,r2,mean_actual,n_test,model,fold,n_train
68.895790491453,26.91422441182056,0.9011348546402103,444.64969992541177,87145,persistence,1,385187
46.6282705070266,21.39198750809102,0.9385205527453754,358.6754432253662,95245,persistence,2,472332
41.13548199672889,19.781804516723312,0.9459810887426972,314.8973215239549,91735,persistence,3,567577
45.236063575817795,21.788868225621126,0.8707614471776565,296.20823341472595,82317,persistence,4,659312
50.315469096319404,22.44066480823378,0.868173410434073,301.9675350064059,66345,persistence,5,741629
73.85158499532342,42.48060636863421,0.8864002239156938,444.64969992541177,87145,xgboost,1,385187
45.1872696673779,29.039101981143048,0.9422617599939274,358.6754432253662,95245,xgboost,2,472332
36.31710338369326,22.891974427477134,0.9578948663135537,314.8973215239549,91735,xgboost,3,567577
37.392225795019186,22.422069740556317,0.9116950376161842,296.20823341472595,82317,xgboost,4,659312
42.18090053760203,22.597425257844446,0.9073529363015801,301.9675350064059,66345,xgboost,5,741629
23.47817897138182,12.907404107258689,0.9136373103572187,148.71306306625763,56401,short-haul: xgboost,1,272199
20.799783017683904,9.922021354810422,0.9316972162918242,145.45685077534011,66229,short-haul: xgboost,2,328600
23.07350430405763,12.543997508939874,0.9119651256823643,139.38225560324273,71298,short-haul: xgboost,3,394829
22.12959694693984,11.429711283326963,0.9158130409585162,139.55083504343395,64811,short-haul: xgboost,4,466127
19.717339392688533,11.240117385555452,0.9283195509137249,148.54433060595278,50598,short-haul: xgboost,5,530938
25.56696039456182,9.916929944090926,0.8975868936965916,148.71306306625763,56401,short-haul: persistence,1,272199
26.229782009700582,9.552342263997751,0.8913799101894546,145.45685077534011,66229,short-haul: persistence,2,328600
26.683548506840204,9.672581653752804,0.8822625028829796,139.38225560324273,71298,short-haul: persistence,3,394829
28.642768566988046,10.774299268546988,0.8589647079643821,139.55083504343395,64811,short-haul: persistence,4,466127
25.055230969117506,10.113804446102446,0.8842553529818333,148.54433060595278,50598,short-haul: persistence,5,530938
