rmse,mae,r2,mean_actual,n_test,model,fold,n_train,route
27.104489394626516,25.43438738458088,0.8348099652727068,485.40144570962184,14,sarima,1,104.0,JFK-LAX
32.44491344524489,25.593630756834642,0.6646145250184957,306.0355748863854,14,sarima,2,118.0,JFK-LAX
68.2542085422743,50.36358976943405,-0.752042938946538,275.09554362710367,14,sarima,3,132.0,JFK-LAX
43.29473816676286,31.834726609917826,0.359557978916885,293.49696319867013,14,sarima,4,146.0,JFK-LAX
33.00115544108682,25.489391245155907,0.7033467386769221,301.05872638209183,14,sarima,5,160.0,JFK-LAX
19.211004517731933,17.00988827584658,0.4015718988103837,407.36457307771394,14,sarima,1,104.0,LAX-JFK
16.220267420248664,13.497115586504853,0.7025764323830024,414.74823861699196,14,sarima,2,118.0,LAX-JFK
46.31862871261702,37.27880995765601,0.3582657389622952,353.41733080219313,14,sarima,3,132.0,LAX-JFK
35.19520343489494,29.601536744266273,0.2211915003034759,299.45822810062106,14,sarima,4,146.0,LAX-JFK
36.510250813699244,26.504927580345477,0.4169450006731171,310.49859541984966,14,sarima,5,160.0,LAX-JFK
8.383586860584272,7.407866571913942,0.9715559067225804,165.7003231631699,14,sarima,1,104.0,BOS-LGA
10.424090171083872,6.626854027761532,0.9360717803705243,156.99637733157468,14,sarima,2,118.0,BOS-LGA
19.58360590528189,17.254341959161376,0.6152650847248123,151.77298572003164,14,sarima,3,132.0,BOS-LGA
12.305929973261868,9.38772075255317,0.868677981621681,149.45068639838567,14,sarima,4,146.0,BOS-LGA
15.236690710291871,10.924837966613552,0.8602967706753245,163.11338841554752,14,sarima,5,160.0,BOS-LGA
12.997166461279557,10.149633728305671,0.16424292910305616,145.53848877263064,14,sarima,1,104.0,LGA-BOS
9.40467307745206,8.136005013185168,0.8458295320392374,148.81157669384297,14,sarima,2,118.0,LGA-BOS
16.315304985661257,13.737579734695602,0.23945338190344378,137.59813399877274,14,sarima,3,132.0,LGA-BOS
17.97853733897602,11.57696683839813,0.6949071954110628,144.32708524278013,14,sarima,4,146.0,LGA-BOS
21.095792199174127,14.47616709790728,0.5273580541063612,152.26596447473648,14,sarima,5,160.0,LGA-BOS
14.273810091760435,12.596091694439249,0.9541877931932563,485.40144570962184,14,sarimax,1,104.0,JFK-LAX
24.61792821805583,21.896307191964922,0.8069125654765239,306.0355748863854,14,sarimax,2,118.0,JFK-LAX
116.1128522690643,79.23044716022017,-4.070449509424485,275.09554362710367,14,sarimax,3,132.0,JFK-LAX
51.20126903239816,39.015160682323945,0.10428255067787895,293.49696319867013,14,sarimax,4,146.0,JFK-LAX
31.868400528383955,24.608483726143213,0.7233622972913613,301.05872638209183,14,sarimax,5,160.0,JFK-LAX
22.33674780609047,19.334625423211296,0.1909940561123049,407.36457307771394,14,sarimax,1,104.0,LAX-JFK
17.975740470609793,14.85210709155265,0.6347140762640052,414.74823861699196,14,sarimax,2,118.0,LAX-JFK
75.21975297695894,56.91016350832154,-0.6924180364127637,353.41733080219313,14,sarimax,3,132.0,LAX-JFK
47.4198131979265,37.03932863899435,-0.41378510095719356,299.45822810062106,14,sarimax,4,146.0,LAX-JFK
28.776300762846,22.31659071002674,0.6377988552341156,310.49859541984966,14,sarimax,5,160.0,LAX-JFK
20.412560827341554,16.900844466962283,0.8313729116100029,165.7003231631699,14,sarimax,1,104.0,BOS-LGA
10.687625593643748,6.746107261161048,0.9327985330640475,156.99637733157468,14,sarimax,2,118.0,BOS-LGA
19.3585970396405,15.991108493709314,0.6240552375357211,151.77298572003164,14,sarimax,3,132.0,BOS-LGA
12.81834521533543,9.684150914784738,0.8575138679062537,149.45068639838567,14,sarimax,4,146.0,BOS-LGA
15.118276657641566,10.8450182142118,0.8624597788292249,163.11338841554752,14,sarimax,5,160.0,BOS-LGA
12.97433759432791,10.331986774627932,0.16717628092893766,145.53848877263064,14,sarimax,1,104.0,LGA-BOS
9.311826063850422,8.075277943216493,0.8488585813401882,148.81157669384297,14,sarimax,2,118.0,LGA-BOS
16.160315514276284,13.45935548977097,0.25383458107819845,137.59813399877274,14,sarimax,3,132.0,LGA-BOS
17.88088508943302,11.491267782642861,0.6982124795150808,144.32708524278013,14,sarimax,4,146.0,LGA-BOS
20.828921682268987,14.414611603325941,0.5392406489162922,152.26596447473648,14,sarimax,5,160.0,LGA-BOS
54.51574647671814,43.889767039593266,0.3317402401110918,485.40144570962184,14,persistence,1,,JFK-LAX
41.66814797095036,36.60255592997242,0.6096000265874311,485.40144570962184,14,xgboost (daily),1,,JFK-LAX
34.848298556601634,27.5248401732887,0.6130862463328066,306.0355748863854,14,persistence,2,,JFK-LAX
102.64857936378633,95.74779826512126,-2.357042942235099,306.0355748863854,14,xgboost (daily),2,,JFK-LAX
63.3055900469386,43.24801016489888,-0.5071969186674385,275.09554362710367,14,persistence,3,,JFK-LAX
63.97874447637008,51.92501804398085,-0.5394206286097623,275.09554362710367,14,xgboost (daily),3,,JFK-LAX
67.94456068719626,53.282458152981064,-0.5773169643233413,293.49696319867013,14,persistence,4,,JFK-LAX
49.40154712039771,37.558755183760866,0.16614471734169267,293.49696319867013,14,xgboost (daily),4,,JFK-LAX
74.15542391173003,59.94531924093477,-0.49787881887408103,301.05872638209183,14,persistence,5,,JFK-LAX
38.38326311360132,29.613524074340692,0.5986949527775025,301.05872638209183,14,xgboost (daily),5,,JFK-LAX
26.840637941873226,19.92448799160463,-0.16814700133470573,407.36457307771394,14,persistence,1,,LAX-JFK
36.50789182208103,33.83239952598261,-1.1611521376306806,407.36457307771394,14,xgboost (daily),1,,LAX-JFK
36.436225113864964,29.78779169990302,-0.5008113720736549,414.74823861699196,14,persistence,2,,LAX-JFK
35.895102868476364,27.28662491319188,-0.45656464155472243,414.74823861699196,14,xgboost (daily),2,,LAX-JFK
35.89946736234234,29.593901319866006,0.6145040236787169,353.41733080219313,14,persistence,3,,LAX-JFK
80.89595800238796,73.06841542966666,-0.9574806796127058,353.41733080219313,14,xgboost (daily),3,,LAX-JFK
50.894230467010885,44.95002274432961,-0.6285489886006808,299.45822810062106,14,persistence,4,,LAX-JFK
31.770334410531873,25.298126990293557,0.3653894388872905,299.45822810062106,14,xgboost (daily),4,,LAX-JFK
51.38786197918086,44.60122161228971,-0.15505054308642752,310.49859541984966,14,persistence,5,,LAX-JFK
53.07425074209097,43.393278002544875,-0.23210475720635682,310.49859541984966,14,xgboost (daily),5,,LAX-JFK
65.94838199407826,44.57158349087293,-0.7601133914939755,165.7003231631699,14,persistence,1,,BOS-LGA
13.763992017179113,10.731602229337406,0.9233307558693132,165.7003231631699,14,xgboost (daily),1,,BOS-LGA
51.15834853549215,36.550857930107334,-0.5397468472800973,156.99637733157468,14,persistence,2,,BOS-LGA
21.460618642809614,17.036007449859216,0.7290427567595772,156.99637733157468,14,xgboost (daily),2,,BOS-LGA
40.24742186278429,30.752012183272345,-0.6249964289034207,151.77298572003164,14,persistence,3,,BOS-LGA
27.943196027870496,20.058066984212935,0.2166994455185769,151.77298572003164,14,xgboost (daily),3,,BOS-LGA
39.23627622388408,29.24411452856383,-0.33500913328545656,149.45068639838567,14,persistence,4,,BOS-LGA
11.1148275396131,9.656962573176807,0.8928692544740816,149.45068639838567,14,xgboost (daily),4,,BOS-LGA
43.048226625124656,34.71959713602858,-0.11515612003543452,163.11338841554752,14,persistence,5,,BOS-LGA
16.819022314094976,14.330658664855786,0.8297737096345184,163.11338841554752,14,xgboost (daily),5,,BOS-LGA
17.131875705022047,11.741536563310678,-0.45208663068978794,145.53848877263064,14,persistence,1,,LGA-BOS
15.282985342525377,12.508218653572436,-0.15557753511033878,145.53848877263064,14,xgboost (daily),1,,LGA-BOS
25.968397477217646,18.998730712173423,-0.1754497930141652,148.81157669384297,14,persistence,2,,LGA-BOS
9.948004846094562,8.666965300862596,0.8275013262730485,148.81157669384297,14,xgboost (daily),2,,LGA-BOS
23.316719862539557,16.359336728511114,-0.5533537000574749,137.59813399877274,14,persistence,3,,LGA-BOS
14.584680290522181,12.281490616629359,0.3922439745510533,137.59813399877274,14,xgboost (daily),3,,LGA-BOS
40.22561152191692,27.094890386712507,-0.5273148085907267,144.32708524278013,14,persistence,4,,LGA-BOS
20.729901898288173,12.55786390103015,0.5943815079698984,144.32708524278013,14,xgboost (daily),4,,LGA-BOS
37.416027375297716,29.910100788541058,-0.4868115742117769,152.26596447473648,14,persistence,5,,LGA-BOS
18.99815418550884,12.582107950172409,0.6166783049340157,152.26596447473648,14,xgboost (daily),5,,LGA-BOS
